Wall time,Step,Value
1521074425.5920167,0,0.5977157354354858
1521074430.3074815,1,0.5969539880752563
1521074435.013694,2,0.5969119071960449
1521074439.553482,3,0.5964574813842773
1521074443.978384,4,0.5959466695785522
1521074448.618155,5,0.5962256193161011
1521074453.1174989,6,0.5966560244560242
1521074457.6608686,7,0.5958011746406555
1521074462.231386,8,0.5958864092826843
1521074466.811718,9,0.5962578654289246
1521074471.3233333,10,0.5960299372673035
1521074476.065664,11,0.5958908200263977
1521074481.0614374,12,0.5953238606452942
1521074486.1825452,13,0.595750629901886
1521074490.9467053,14,0.595464289188385
1521074495.6903093,15,0.5960027575492859
1521074500.4494545,16,0.5960235595703125
1521074505.445811,17,0.595719575881958
1521074510.627581,18,0.595716118812561
1521074515.6945436,19,0.5962125658988953
1521074520.7489738,20,0.5959495902061462
1521074525.8566375,21,0.5957883596420288
1521074530.5135102,22,0.5963602066040039
1521074535.248091,23,0.5952216386795044
1521074540.1666613,24,0.5956912636756897
1521074545.033594,25,0.595292329788208
1521074550.0904684,26,0.5952441096305847
1521074555.2177024,27,0.5948317050933838
1521074560.5804574,28,0.5949931740760803
1521074566.0727196,29,0.5961700081825256
1521074571.754317,30,0.5950325727462769
1521074577.3020582,31,0.5953063368797302
1521074582.9340184,32,0.5948871970176697
1521074588.562484,33,0.5948116779327393
1521074594.2793274,34,0.5948995351791382
1521074599.8135803,35,0.594860315322876
1521074605.20641,36,0.5947529077529907
1521074610.663204,37,0.5948321223258972
1521074615.89105,38,0.5952638387680054
1521074620.805613,39,0.5948854684829712
1521074626.1573331,40,0.5945106148719788
1521074677.9997838,0,0.5951933264732361
1521074683.4973874,1,0.5955615639686584
1521074689.0902483,2,0.5946498513221741
1521074694.9668639,3,0.5947195887565613
1521074701.6485703,4,0.5942170023918152
1521074708.2543662,5,0.5944512486457825
1521074715.237923,6,0.5942996740341187
1521074722.5897138,7,0.5943930745124817
1521074730.2266088,8,0.5939282178878784
1521074737.3584912,9,0.5946847200393677
1521074743.9622188,10,0.5952117443084717
1521074750.6319506,11,0.5944908857345581
1521074756.5503914,12,0.5943692326545715
1521074762.0244372,13,0.5943653583526611
1521074767.4945343,14,0.5941600203514099
1521074772.6737952,15,0.5940088629722595
1521074777.6510212,16,0.5943844318389893
1521074782.9615972,17,0.5936461091041565
1521074787.691164,18,0.5941033959388733
1521074792.8904796,19,0.5945271849632263
1521074798.0592895,20,0.5942726135253906
1521074803.3673937,21,0.5942354202270508
1521074808.582252,22,0.5939791202545166
1521074814.7496727,23,0.5945136547088623
1521074820.6533601,24,0.5938181281089783
1521074826.3224242,25,0.593715488910675
1521074831.8390825,26,0.5935731530189514
1521074838.3864803,27,0.5939601063728333
1521074844.8275955,28,0.5933621525764465
1521074851.4069815,29,0.5940133929252625
1521074857.6861665,30,0.5936967730522156
1521074866.0752463,31,0.5933875441551208
1521074873.6382358,32,0.5934141278266907
1521074880.5693343,33,0.5941116809844971
1521074886.82874,34,0.5948347449302673
1521074893.2457905,35,0.5936009883880615
1521074899.7933652,36,0.5935235023498535
1521074905.4373622,37,0.5936111807823181
1521074910.6276538,38,0.5931815505027771
1521074915.5193748,39,0.5931586027145386
1521074920.661038,40,0.5932407379150391
1521074925.687393,41,0.5932079553604126
1521074930.7613795,42,0.594086766242981
1521074935.7576525,43,0.5931781530380249
1521074941.2221723,44,0.593546450138092
1521074946.4947565,45,0.5930336117744446
1521074951.7507925,46,0.5935273766517639
1521074957.2133074,47,0.5937803387641907
1521074962.8887978,48,0.5930136442184448
1521074968.6932201,49,0.5932967066764832
